LoserId,SurvivorId,Reason
# Round 42 (2026-05-30): BMZ -> KOR Structural Ltd. (id 38918).
# Per saved memory reference_kor_bmz_rename: KOR was "Bryson Markulin Zickmantel"
# before the 2021 rebrand. The fuzzy-name gate added in the Round 37 audit
# (post-Abbotsford-SD -> Alterra-Power-Corp incident) correctly rejects these
# pairs because the names are not similar in any normalization. This allowlist
# is the curated escape hatch for legitimate historical-rename pairs.
69930,38918
69934,38918
70675,38918
70948,38918
71123,38918
# 2026-06-01: Clendor-share dedup pairs. Each row pair shares the same
# Deltek Clendor.ClientID (verified by the same ClendorClientId column on
# both rows), which is a stronger truth-source than fuzzy name match.
# Names differ via typo / acronym-prefix / paren-suffix / "The" / "LLP".
69674,163
69642,69589
69780,69589
69864,69589
69943,69589
69771,38969
70156,68912
71279,69014
70781,69214
71258,69214
